Frequency,Channel A,Channel B
(ms),(V),(V)

0.69110397,-5.48628200,-3.18866900
0.69611197,-5.48628200,-3.17867300
0.70111997,-5.50627500,-3.18866900
0.70612797,-5.50627500,-3.18866900
0.71113597,-5.48628200,-3.17867300
0.71614397,-5.48628200,-3.17867300
0.72115197,-5.46659700,-3.16883000
0.72615997,-5.46659700,-3.16883000
0.73116797,-5.46659700,-3.16883000
0.73617597,-5.46659700,-3.17867300
0.74118397,-5.46659700,-3.18866900
0.74619197,-5.46659700,-3.19851100
0.75119997,-5.46659700,-3.19851100
0.75620797,-5.46659700,-3.19851100
0.76121597,-5.46659700,-3.19851100
0.76622397,-5.46659700,-3.19851100
0.77123197,-5.48628200,-3.19851100
0.77623997,-5.48628200,-3.18866900
0.78124797,-5.48628200,-3.17867300
0.78625597,-5.48628200,-3.16883000
0.79126397,-5.46659700,-3.16883000
0.79627197,-5.46659700,-3.16883000
0.80127997,-5.48628200,-3.16883000
0.80628797,-5.48628200,-3.18851500
0.81129597,-5.48628200,-3.18851500
0.81630397,-5.48628200,-3.18851500
0.82131197,-5.46659700,-3.19851100
0.82631997,-5.46659700,-3.17867300
0.83132796,-5.48628200,-3.18866900
0.83633596,-5.48628200,-3.19851100
0.84134396,-5.48628200,-3.18866900
0.84635196,-5.48628200,-3.18866900
0.85135996,-5.48628200,-3.17867300
0.85636796,-5.48628200,-3.16883000
0.86137596,-5.48628200,-3.16883000
0.86638396,-5.48628200,-3.16883000
0.87139196,-5.46659700,-3.16883000
0.87639996,-5.46659700,-3.16883000
0.88140796,-5.48628200,-3.16883000
0.88641596,-5.48628200,-3.16883000
0.89142396,-5.48628200,-3.16883000
0.89643196,-5.48628200,-3.16883000
0.90143996,-5.46659700,-3.17867300
0.90644796,-5.48628200,-3.16883000
0.91145596,-5.50627500,-3.16883000
0.91646396,-5.50627500,-3.16883000
0.92147196,-5.52596000,-3.14899100
0.92647996,-5.50627500,-3.15883400
0.93148796,-5.50627500,-3.15883400
0.93649596,-5.50627500,-3.15883400
0.94150396,-5.50627500,-3.17867300
0.94651196,-5.50627500,-3.18866900
0.95151996,-5.48628200,-3.18866900
0.95652796,-5.50627500,-3.18866900
0.96153596,-5.50627500,-3.18866900
0.96654396,-5.50627500,-3.17867300
0.97155196,-5.50627500,-3.18866900
0.97655996,-5.48628200,-3.18866900
0.98156796,-5.46659700,-3.18866900
0.98657596,-5.46659700,-3.18866900
0.99158396,-5.46659700,-3.17867300
0.99659196,-5.46659700,-3.18866900
1.00159996,-5.46659700,-3.18866900
1.00660796,-5.46659700,-3.18866900
1.01161596,-5.46659700,-3.19851100
1.01662396,-5.46659700,-3.18866900
1.02163196,-5.46659700,-3.17867300
1.02663996,-5.46659700,-3.18866900
1.03164796,-5.48628200,-3.17867300
1.03665596,-5.48628200,-3.17867300
1.04166396,-5.48628200,-3.18866900
1.04667196,-5.48628200,-3.18866900
1.05167996,-5.46659700,-3.18866900
1.05668796,-5.46659700,-3.19851100
1.06169596,-5.46659700,-3.18866900
1.06670396,-5.46659700,-3.18866900
1.07171195,-5.46659700,-3.19851100
1.07671995,-5.46659700,-3.19851100
1.08172795,-5.46659700,-3.19851100
1.08673595,-5.46659700,-3.19851100
1.09174395,-5.48628200,-3.18866900
1.09675195,-5.48628200,-3.17867300
1.10175995,-5.48628200,-3.17867300
1.10676795,-5.48628200,-3.16883000
1.11177595,-5.46659700,-3.17867300
1.11678395,-5.46659700,-3.17867300
1.12179195,-5.46659700,-3.17867300
1.12679995,-5.46659700,-3.17867300
1.13180795,-5.46659700,-3.17867300
1.13681595,-5.46659700,-3.17867300
1.14182395,-5.46659700,-3.17867300
1.14683195,-5.46659700,-3.17867300
1.15183995,-5.46659700,-3.16883000
1.15684795,-5.46659700,-3.17867300
1.16185595,-5.46659700,-3.17867300
1.16686395,-5.46659700,-3.18866900
1.17187195,-5.46659700,-3.18866900
1.17687995,-5.46659700,-3.18866900
1.18188795,-5.46659700,-3.18866900
1.18689595,-5.46659700,-3.17867300
1.19190395,-5.46659700,-3.17867300
1.19691195,-5.46659700,-3.16883000
1.20191995,-5.46659700,-3.16883000
1.20692795,-5.46659700,-3.16883000
1.21193595,-5.46659700,-3.16883000
1.21694395,-5.46659700,-3.16883000
1.22195195,-5.46659700,-3.16883000
1.22695995,-5.46659700,-3.16883000
1.23196795,-5.46659700,-3.15883400
1.23697595,-5.46659700,-3.15883400
1.24198395,-5.46659700,-3.15883400
1.24699195,-5.46659700,-3.15883400
1.25199995,-5.46659700,-3.16883000
1.25700795,-5.44660500,-3.17867300
1.26201595,-5.44660500,-3.17867300
1.26702395,-5.44660500,-3.18866900
1.27203195,-5.44660500,-3.18866900
1.27703995,-5.46659700,-3.17867300
1.28204795,-5.46659700,-3.16883000
1.28705595,-5.44660500,-3.15883400
1.29206395,-5.42691900,-3.15883400
1.29707195,-5.42691900,-3.16883000
1.30207995,-5.42691900,-3.18866900
1.30708794,-5.44660500,-3.18866900
1.31209594,-5.46659700,-3.18866900
1.31710394,-5.44660500,-3.17867300
1.32211194,-5.42691900,-3.16883000
1.32711994,-5.40723400,-3.15883400
1.33212794,-5.38754900,-3.15883400
1.33713594,-5.38754900,-3.15883400
1.34214394,-5.38754900,-3.15883400
1.34715194,-5.38754900,-3.17867300
1.35215994,-5.38754900,-3.17867300
1.35716794,-5.38754900,-3.17867300
1.36217594,-5.38754900,-3.17867300
1.36718394,-5.38754900,-3.16883000
1.37219194,-5.38754900,-3.16883000
1.37719994,-5.38754900,-3.16883000
1.38220794,-5.38754900,-3.16883000
1.38721594,-5.38754900,-3.16883000
1.39222394,-5.38754900,-3.15883400
1.39723194,-5.38754900,-3.15883400
1.40223994,-5.38754900,-3.14899100
1.40724794,-5.38754900,-3.14899100
1.41225594,-5.38754900,-3.15883400
1.41726394,-5.36755700,-3.15883400
1.42227194,-5.36755700,-3.16883000
1.42727994,-5.36755700,-3.16883000
1.43228794,-5.34787200,-3.16883000
1.43729594,-5.34787200,-3.15883400
1.44230394,-5.34787200,-3.14899100
1.44731194,-5.32787900,-3.14899100
1.45231994,-5.34787200,-3.14899100
1.45732794,-5.34787200,-3.15883400
1.46233594,-5.34787200,-3.15883400
1.46734394,-5.34787200,-3.15883400
1.47235194,-5.32787900,-3.14899100
1.47735994,-5.32787900,-3.13914900
1.48236794,-5.30819400,-3.13914900
1.48737594,-5.30819400,-3.14899100
1.49238394,-5.30819400,-3.15898800
1.49739194,-5.30819400,-3.16883000
1.50239994,-5.30819400,-3.17867300
1.50740794,-5.30819400,-3.16883000
1.51241594,-5.30819400,-3.16883000
1.51742394,-5.30819400,-3.16883000
1.52243194,-5.30819400,-3.15883400
1.52743994,-5.30819400,-3.15883400
1.53244794,-5.30819400,-3.14899100
1.53745594,-5.30819400,-3.13914900
1.54246394,-5.28820100,-3.14899100
1.54747193,-5.28820100,-3.13914900
